2006-068-00:00:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 31.1513577369659 
2006-068-01:31:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 47.799266796426 |
2006-068-03:08:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 47.2818690938319 
2006-068-04:44:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 47.8906635278452 
2006-068-06:21:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 45.8088358083526 
2006-068-07:57:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 48.4604796295345 
2006-068-09:34:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 46.5592987245437 
2006-068-11:10:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 48.762162913783 |
2006-068-12:46:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 45.5436760159603 
2006-068-14:23:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 47.9820220204953 
2006-068-15:59:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 45.1609530744946 
2006-068-17:36:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 46.8512724068652 
2006-068-19:12:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 45.2038328026952 
2006-068-20:50:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 46.7326107570752 
2006-068-22:24:00 NGC 4395 | 30373 | 4 | 67139237 | 186.4542 | 33.5467 | 46.0677823647566 
2006-069-00:24:00 NGC 4395 | 30373 | 5 | 83916453 | 186.4542 | 33.5467 | 14.7076130701138 
2006-069-01:49:00 NGC 4395 | 30373 | 5 | 83916453 | 186.4542 | 33.5467 | 17.5485984452031 l
2006-069-03:38:00 NGC 4395 | 30373 | 5 | 83916453 | 186.4542 | 33.5467 | 13.8786217289699 
2006-069-05:13:00 NGC 4395 | 30373 | 5 | 83916453 | 186.4542 | 33.5467 | 17.2813600050273 
2006-069-06:50:00 NGC 4395 | 30373 | 5 | 83916453 | 186.4542 | 33.5467 | 15.3508782869219 
2006-069-08:26:00 NGC 4395 | 30373 | 5 | 83916453 | 186.4542 | 33.5467 | 17.0476326610129 
2006-069-10:02:00 NGC 4395 | 30373 | 5 | 83916453 | 186.4542 | 33.5467 | 15.1602368680778 
2006-069-11:38:00 NGC 4395 | 30373 | 5 | 83916453 | 186.4542 | 33.5467 | 15.7027382015242 
2006-069-13:15:00 NGC 4395 | 30373 | 5 | 83916453 | 186.4542 | 33.5467 | 13.0652011844814 
2006-069-14:52:00 NGC 4395 | 30373 | 5 | 83916453 | 186.4542 | 33.5467 | 16.2508131091207 
